uuid,tratamentoRef,fazendaRef,dataCriacao,nota,photoUrl,nomeFazenda,nome,dePara,status_material,tipoTeste,indexTratamento,safra
0038291b-533a-4cd3-8464-0816a3733848,8f218823-544a-4f05-a379-f7faf16da978,4db9f327-5421-4971-84bb-8ce6ed788db4,2025-03-25 12:41:37,,https://lwklfogmduwitmbqbgyp.supabase.co/storage/v1/object/public/stine-photos/fazenda/4db9f327-5421-4971-84bb-8ce6ed788db4/1742909772063433.jpg,Fazenda Aquidauana,NC25-51943-4,NC25-51943-4,LINHAGEM,Faixa,2,2024/25
00a9e35e-2297-4454-94cf-7a3e2356f49c,79acdb37-fbae-434a-8d3b-b2729f826313,06808f13-42e9-45c2-9488-6e1b773718a6,2025-03-28 07:18:23,,https://lwklfogmduwitmbqbgyp.supabase.co/storage/v1/object/public/stine-photos/fazenda/06808f13-42e9-45c2-9488-6e1b773718a6/1743146811508120.jpg,FAZENDA 3 GERAÇÕES,SC25-5760-7,SC25-5760-7,LINHAGEM,Faixa,24,2024/25
00b8e283-414e-4277-a78c-93b2c7f702c1,3689d9c9-686f-4ccd-b75a-87412409d6ed,73aa5e8b-f1a4-4489-a5d6-aa53c6b2a9a7,2025-03-13 00:03:05,,https://lwklfogmduwitmbqbgyp.supabase.co/storage/v1/object/public/stine-photos/fazenda/73aa5e8b-f1a4-4489-a5d6-aa53c6b2a9a7/1742192089701000.jpg,Córrego Fundo,NC25-44371-1,NC25-44371-1,LINHAGEM,Faixa,23,2024/25
00e02bdb-935c-4937-b987-f5cb44dbf1fd,270c4101-f2c6-44da-8490-1d1a6d58a0d3,03c33e63-b9ed-4572-ba19-35f2084ce29e,2025-02-13 14:45:25,,https://lwklfogmduwitmbqbgyp.supabase.co/storage/v1/object/public/stine-photos/fazenda/03c33e63-b9ed-4572-ba19-35f2084ce29e/1742192059770000.jpg,Maisa,SC25-F-448-6,SC25-F-448-6,LINHAGEM,Faixa,4,2024/25
0141840e-54d7-43ca-8940-3fce18147c35,c539cb4a-b859-4aeb-9cd6-fc18599d0320,73aa5e8b-f1a4-4489-a5d6-aa53c6b2a9a7,2025-03-13 11:07:02,,https://lwklfogmduwitmbqbgyp.supabase.co/storage/v1/object/public/stine-photos/fazenda/73aa5e8b-f1a4-4489-a5d6-aa53c6b2a9a7/1742192176582000.jpg,Córrego Fundo,NC25-57375-2,NC25-57375-2,LINHAGEM,Faixa,42,2024/25
01526032-9592-41e4-9e7b-618767da53d6,9e604f70-2bf9-46b2-b5e0-39837b199755,06808f13-42e9-45c2-9488-6e1b773718a6,2025-03-28 01:04:26,,https://lwklfogmduwitmbqbgyp.supabase.co/storage/v1/object/public/stine-photos/fazenda/06808f13-42e9-45c2-9488-6e1b773718a6/1743132827014078.jpg,FAZENDA 3 GERAÇÕES,SE25-7900-4,SE25-7900-4,LINHAGEM,Faixa,13,2024/25
02e2749a-db06-4f1c-a4a9-f32a430bc19e,d29e01b0-93a9-4894-9e52-606509e3440a,73aa5e8b-f1a4-4489-a5d6-aa53c6b2a9a7,2025-03-12 18:11:47,,https://lwklfogmduwitmbqbgyp.supabase.co/storage/v1/object/public/stine-photos/fazenda/73aa5e8b-f1a4-4489-a5d6-aa53c6b2a9a7/1742192043569000.jpg,Córrego Fundo,NC25-51943-4,NC25-51943-4,LINHAGEM,Faixa,2,2024/25
037e3a63-8c3b-4f14-80e2-21ae74140eb3,6d8a172e-e78d-4d0a-a4e0-48792e5bb2eb,03c33e63-b9ed-4572-ba19-35f2084ce29e,2025-02-14 13:08:29,,https://lwklfogmduwitmbqbgyp.supabase.co/storage/v1/object/public/stine-photos/fazenda/03c33e63-b9ed-4572-ba19-35f2084ce29e/1742192150211000.jpg,Maisa,DM 64I63 IPRO,DM 64I63 RSF IPRO,CHECK,Faixa,22,2024/25
03a4a55a-582c-4041-97d3-c7a226c7af77,15b1bb75-1c23-4700-ba21-0588435908d8,03c33e63-b9ed-4572-ba19-35f2084ce29e,2025-02-14 14:24:59,,https://lwklfogmduwitmbqbgyp.supabase.co/storage/v1/object/public/stine-photos/fazenda/03c33e63-b9ed-4572-ba19-35f2084ce29e/1742192018230000.jpg,Maisa,NC25-96785-1,71KA72 CE,DP2,Faixa,31,2024/25
03c3e309-b66e-44ec-8d79-923cabc8cbe7,9324fc47-9e04-48c5-bc66-c7c1753e87c6,73aa5e8b-f1a4-4489-a5d6-aa53c6b2a9a7,2025-03-12 18:20:23,,https://lwklfogmduwitmbqbgyp.supabase.co/storage/v1/object/public/stine-photos/fazenda/73aa5e8b-f1a4-4489-a5d6-aa53c6b2a9a7/1742192102144000.jpg,Córrego Fundo,NC25-51441-3,68KA49 CE,DP2,Faixa,3,2024/25
0459d6c9-8688-4372-9846-f2dfe4126923,1226139a-fba4-47bd-bced-43b10726d345,73aa5e8b-f1a4-4489-a5d6-aa53c6b2a9a7,2025-03-13 00:27:24,,https://lwklfogmduwitmbqbgyp.supabase.co/storage/v1/object/public/stine-photos/fazenda/73aa5e8b-f1a4-4489-a5d6-aa53c6b2a9a7/1742192181502000.jpg,Córrego Fundo,OLIMPO IPRO,BMX OLIMPO IPRO,CHECK,Faixa,26,2024/25
05966a0b-5900-43b5-88d4-d04cc086704e,7755f7fc-96c2-4bf6-a42a-828fc3a17a57,06808f13-42e9-45c2-9488-6e1b773718a6,2025-03-28 07:53:44,,https://lwklfogmduwitmbqbgyp.supabase.co/storage/v1/object/public/stine-photos/fazenda/06808f13-42e9-45c2-9488-6e1b773718a6/1743148628555061.jpg,FAZENDA 3 GERAÇÕES,SC25-4623-2,SC25-4623-2,LINHAGEM,Faixa,29,2024/25
05a657bb-af1a-4ddc-9c99-1aaa1e7a62ac,766d112a-4008-4aed-ad43-feba66dc20e4,06808f13-42e9-45c2-9488-6e1b773718a6,2025-03-26 05:54:14,,https://lwklfogmduwitmbqbgyp.supabase.co/storage/v1/object/public/stine-photos/fazenda/06808f13-42e9-45c2-9488-6e1b773718a6/1742968953937484.jpg,FAZENDA 3 GERAÇÕES,SE24-130204-03,SE24-130204-03,LINHAGEM,Faixa,10,2024/25
068c644b-93b9-416a-9b93-5a906890da2e,d1397df1-47e4-4cfd-9e8b-9ceaad4d6e81,03c33e63-b9ed-4572-ba19-35f2084ce29e,2025-02-14 12:56:50,,https://lwklfogmduwitmbqbgyp.supabase.co/storage/v1/object/public/stine-photos/fazenda/03c33e63-b9ed-4572-ba19-35f2084ce29e/1742192175111000.jpg,Maisa,SC25-2733-4,SC25-2733-4,LINHAGEM,Faixa,13,2024/25
06a60a30-a86e-4f38-b372-68bdf9b68f4f,6fdcfbf6-3a89-4cf6-b96e-c4a5c4669a1b,03c33e63-b9ed-4572-ba19-35f2084ce29e,2025-02-14 14:31:13,,https://lwklfogmduwitmbqbgyp.supabase.co/storage/v1/object/public/stine-photos/fazenda/03c33e63-b9ed-4572-ba19-35f2084ce29e/1742192148701000.jpg,Maisa,NC25-57837-6,NC25-57837-6,LINHAGEM,Faixa,38,2024/25
06c100df-e887-4d95-89cf-c59987c69438,c25ee050-288b-4d8d-a522-e1ef94fcd726,03c33e63-b9ed-4572-ba19-35f2084ce29e,2025-02-14 13:10:44,,https://lwklfogmduwitmbqbgyp.supabase.co/storage/v1/object/public/stine-photos/fazenda/03c33e63-b9ed-4572-ba19-35f2084ce29e/1742192036314000.jpg,Maisa,F�RIA CE,BMX FÚRIA CE,CHECK,Faixa,23,2024/25
07c3af0a-1dd2-4887-8f4c-14349e9ced31,2b0a4f86-6ba5-4696-8cfd-cf4febc9f247,4db9f327-5421-4971-84bb-8ce6ed788db4,2025-03-25 17:28:15,,https://lwklfogmduwitmbqbgyp.supabase.co/storage/v1/object/public/stine-photos/fazenda/4db9f327-5421-4971-84bb-8ce6ed788db4/1742991357742482.jpg,Fazenda Aquidauana,84KA92,84KA92 CE,DP2,Faixa,43,2024/25
0941ba72-4006-45a4-a582-3df912d547f4,9af35021-012f-4c0f-9fd5-15b95a3ebcf6,06808f13-42e9-45c2-9488-6e1b773718a6,2025-03-26 05:18:50,,https://lwklfogmduwitmbqbgyp.supabase.co/storage/v1/object/public/stine-photos/fazenda/06808f13-42e9-45c2-9488-6e1b773718a6/1742966991754035.jpg,FAZENDA 3 GERAÇÕES,DM 56I59 IPRO,DM 56I59 RSF IPRO,CHECK,Faixa,8,2024/25
09c2154e-7665-4881-9e66-f69c42253f1d,1a9ea45b-a114-4352-aa61-ba1e1378904b,03c33e63-b9ed-4572-ba19-35f2084ce29e,2025-02-14 13:05:13,,https://lwklfogmduwitmbqbgyp.supabase.co/storage/v1/object/public/stine-photos/fazenda/03c33e63-b9ed-4572-ba19-35f2084ce29e/1742192073314000.jpg,Maisa,SC25-5075-8,SC25-5075-8,LINHAGEM,Faixa,19,2024/25
09fe7a28-1df9-4617-bf6a-5c2280d9a264,a7c764d1-22be-4ec7-b9b2-22f59521301d,03c33e63-b9ed-4572-ba19-35f2084ce29e,2025-02-13 14:43:12,,https://lwklfogmduwitmbqbgyp.supabase.co/storage/v1/object/public/stine-photos/fazenda/03c33e63-b9ed-4572-ba19-35f2084ce29e/1742192134681000.jpg,Maisa,SE24-130204-03,SE24-130204-03,LINHAGEM,Faixa,1,2024/25
0a19fadb-514e-4c4e-8f4f-e5138711ee27,fcbef2b5-0ffb-4fdf-b48c-28eb627ccc1b,73aa5e8b-f1a4-4489-a5d6-aa53c6b2a9a7,2025-03-12 18:56:50,,https://lwklfogmduwitmbqbgyp.supabase.co/storage/v1/object/public/stine-photos/fazenda/73aa5e8b-f1a4-4489-a5d6-aa53c6b2a9a7/1742191995411000.jpg,Córrego Fundo,NC25-96785-6,NC25-96785-6,LINHAGEM,Faixa,5,2024/25
0b77041c-f631-4ac2-ad6e-cbdc34ec658a,542ca835-3978-41ef-9c41-e504fd6b33ce,73aa5e8b-f1a4-4489-a5d6-aa53c6b2a9a7,2025-03-12 23:51:46,,https://lwklfogmduwitmbqbgyp.supabase.co/storage/v1/object/public/stine-photos/fazenda/73aa5e8b-f1a4-4489-a5d6-aa53c6b2a9a7/1742192126016000.jpg,Córrego Fundo,78KA42,78KA42 CE,STINE,Faixa,22,2024/25
0ba92a8a-fe36-4ca1-ac24-5b7f6f6ada74,28e7c9c3-5397-492e-bc6e-e6f6b7cdaf3b,06808f13-42e9-45c2-9488-6e1b773718a6,2025-03-26 01:15:53,,https://lwklfogmduwitmbqbgyp.supabase.co/storage/v1/object/public/stine-photos/fazenda/06808f13-42e9-45c2-9488-6e1b773718a6/1742953274444437.jpg,FAZENDA 3 GERAÇÕES,SC25-50-06-2,53KA33 CE,DP2,Faixa,1,2024/25
0ce361a3-b560-4ffa-9e69-87c7db52aae6,9c3abbca-9fdc-4ea6-a918-e1f82c51dcc0,03c33e63-b9ed-4572-ba19-35f2084ce29e,2025-02-14 14:08:16,,https://lwklfogmduwitmbqbgyp.supabase.co/storage/v1/object/public/stine-photos/fazenda/03c33e63-b9ed-4572-ba19-35f2084ce29e/1742192146414000.jpg,Maisa,76EA72,76EA72 E,STINE,Faixa,40,2024/25
0f3453f2-07fd-4821-9be8-cae2294f58a1,9234285f-8cea-4dff-842e-545f354f7dab,03c33e63-b9ed-4572-ba19-35f2084ce29e,2025-02-14 13:07:47,,https://lwklfogmduwitmbqbgyp.supabase.co/storage/v1/object/public/stine-photos/fazenda/03c33e63-b9ed-4572-ba19-35f2084ce29e/1742192061078000.jpg,Maisa,BMX Nexus I2X,BMX NEXUS I2X,CHECK,Faixa,21,2024/25
0f809e7e-41e5-4b0e-a52e-5e4c3d76d02a,310ae2cd-c387-4319-9cb5-b7c99ff90101,73aa5e8b-f1a4-4489-a5d6-aa53c6b2a9a7,2025-03-13 08:38:08,,https://lwklfogmduwitmbqbgyp.supabase.co/storage/v1/object/public/stine-photos/fazenda/73aa5e8b-f1a4-4489-a5d6-aa53c6b2a9a7/1742192168744000.jpg,Córrego Fundo,79KA72,79KA72 CE,STINE,Faixa,30,2024/25
0fc8dd79-e01d-44a1-9c9d-446922696d05,aa99c0e7-c016-4005-a2dd-f7b1eb136553,06808f13-42e9-45c2-9488-6e1b773718a6,2025-03-26 01:50:04,"PLANTA 1:
Grãos chocho TS: 7 
Grãos chocho TM: 7
Grãos chocho TI: 3",,FAZENDA 3 GERAÇÕES,SC25-98047-8,SC25-98047-8,LINHAGEM,Faixa,2,2024/25
0fdace7c-0ce4-4383-b63a-e990391e5ae7,4327f9b4-65ae-4965-9f90-a8af463cbd58,73aa5e8b-f1a4-4489-a5d6-aa53c6b2a9a7,2025-03-12 23:06:42,,https://lwklfogmduwitmbqbgyp.supabase.co/storage/v1/object/public/stine-photos/fazenda/73aa5e8b-f1a4-4489-a5d6-aa53c6b2a9a7/1742192051690000.jpg,Córrego Fundo,76EA72,76EA72 E,STINE,Faixa,18,2024/25
