uuid,avaliacaoRef,idBaseRef,fazendaRef,dtcResponsavelRef,cod_fazenda,nomeFazenda,cidade_nome,estado_sigla,regiao_macro,regiao_micro,safra,epoca,dataPlantioSoja,dataColheitaSoja,latitude,longitude,altitude,nomeResponsavel,nome,dePara,status_material,tipoTeste,indexTratamento,populacao,gm,notaUniformidade,notaDensidade,notaVigor,notaDaninhas,notaPragas,notaDoencas,notaHomogenidade,notaSolo,notaQualidadeInicial,notaMedia
001eb4b0-4025-4ba7-a580-ab99314c23a3,44711239-5467-4a95-b074-5115f52c24fb,4a00df86-e503-455f-9d22-c840d1fc4710,9ac6429e-ec51-4764-a767-7c89528ba0d6,586073f9-041b-4931-9e42-b44975c8b383,M4-401-F-24,Ponte de Pedra,Itiquira,MT,MACRO IV,REC 401,2024/25,Safra,10/28/2024,2/25/2025,-17.1054,-54.7112,485,Tamila Ribeiro,70KA30,70KA30 CE,STINE,Densidade,201,400,70,5,4,5,5,5,4,4,4,,4.5
00380568-10a9-47c9-954d-7cd019cf726e,ad5fa440-65d6-4ac1-ae3b-152920a5cee4,3d0a9e2a-79f8-4ac5-a3bd-8adc6005ff22,d9b6c3c4-70f8-44d5-8824-1029ff5b0c55,fd6a17f2-2d5a-46b9-ad69-4f3d7816b53a,M4-402-H-24,Lajeada ,Campos de Júlio,MT,MACRO IV,REC 402,2024/25,Safra,10/9/2024,2/13/2025,-14.0275,-59.190277,660,Milena Goulart,78KA42,78KA42 CE,STINE,Densidade,205,250,78,3,3,3,5,5,5,3,4,,3.88
0112f10d-5ee4-45f6-a2d4-9a3976519e49,79c65f9d-74c8-477c-9214-44eb11840a18,0f29f7ca-0ae5-4054-bb5a-d06ca69f515d,7001996a-2024-4068-bad3-bb65e80b77d3,7e3a92bf-2ddd-4c2a-a9a1-7ee7b42924db,M3-303-C-24,Nossa Senhora Aparecida,Araguari,MG,MACRO III,REC 303,2024/25,Safra,10/23/2024,3/1/2025,-18.7335,-47.98095,950,Fúlvio Gibello,77EA40,77EA40 E,STINE,Densidade,104,200,77,4,3,4,3,5,5,4,5,,4.12
011e7567-8616-4700-a984-a7eb4d3b565a,ad5fa440-65d6-4ac1-ae3b-152920a5cee4,81bd60b3-260f-4786-b18f-55ebc3bbb24c,d9b6c3c4-70f8-44d5-8824-1029ff5b0c55,fd6a17f2-2d5a-46b9-ad69-4f3d7816b53a,M4-402-H-24,Lajeada ,Campos de Júlio,MT,MACRO IV,REC 402,2024/25,Safra,10/9/2024,2/13/2025,-14.0275,-59.190277,660,Milena Goulart,80KA72,80KA72 CE,STINE,Densidade,107,300,80,3,3,3,4,3,4,3,4,,3.38
013fddb0-a7e8-441b-8240-b85a0ce3e71d,b501bce8-9c22-4b2e-89b5-ca123e07482c,d661bb6d-8271-4b4e-9352-324400bbe833,9e09bbd0-f32d-45e9-b38a-8f5f8b90283f,df4e05ad-5053-463d-a3c3-463d00849eb9,M3-304-A-24,AgroROSSO 1,São Miguel do Passa Quatro,GO,MACRO III,REC 304,2024/25,Safra,11/8/2024,3/6/2025,-16.836499,-48.446628,1010,Rafael Ribeiro,77EA40,77EA40 E,STINE,Densidade,304,250,77,4,4,5,3,5,5,4,5,,4.38
015916bd-a095-4e5b-bbd4-2cb365d2c784,8287743c-b3c6-42c6-8934-2fb1f6fc4c40,0ee2539c-79c8-42d4-b4e9-97b771c67101,394c0133-b356-40a0-9ce8-8fe7412fb244,589904d8-eb5c-48cc-a8e0-ad3398f7f373,M2-204-A-24,Flor do Cerrado ,Rio Brilhante,MS,MACRO II,REC 204,2024/25,Safra,10/21/2024,2/27/2025,0,0,0,Luis Tosin ,78KA42,78KA42 CE,STINE,Densidade,305,350,78,4,4,4,4,4,4,4,4,,4
01d2bd55-06f4-4856-8bb3-cfedd02f471f,8287743c-b3c6-42c6-8934-2fb1f6fc4c40,bc322704-a3c1-4830-8d42-97311cd5ba36,394c0133-b356-40a0-9ce8-8fe7412fb244,589904d8-eb5c-48cc-a8e0-ad3398f7f373,M2-204-A-24,Flor do Cerrado ,Rio Brilhante,MS,MACRO II,REC 204,2024/25,Safra,10/21/2024,2/27/2025,0,0,0,Luis Tosin ,79KA72,79KA72 CE,STINE,Densidade,206,300,79,4,4,4,4,4,4,4,4,,4
01eac695-c2c4-4dc9-a15e-09e063a0e092,ad5fa440-65d6-4ac1-ae3b-152920a5cee4,62dbc84d-0af0-4fef-b924-f27790ad54fd,d9b6c3c4-70f8-44d5-8824-1029ff5b0c55,fd6a17f2-2d5a-46b9-ad69-4f3d7816b53a,M4-402-H-24,Lajeada ,Campos de Júlio,MT,MACRO IV,REC 402,2024/25,Safra,10/9/2024,2/13/2025,-14.0275,-59.190277,660,Milena Goulart,76EA72,76EA72 E,STINE,Densidade,202,300,76,3,3,3,4,4,4,3,4,,3.5
01fe2a6c-5804-44b6-81fe-9444cbe5bed1,2d7d1ce4-f264-4a19-a95c-de5fb313a2b8,e251c8b0-3334-487e-9fbd-1985ac995bf7,46a26871-132b-4fbf-bb8c-0c43f1226ad9,35b90f23-8b54-40ef-ba56-fefd341a9878,M4-402-F-24,Fazenda Santana ,Sorriso,MT,MACRO IV,REC 402,2024/25,Safra,10/16/2024,2/9/2025,-12.385359,-55.593431,380,Luiz Penna,76KA72,76KA72 CE,STINE,Densidade,303,350,76,4,3,4,5,5,5,4,5,,4.38
0265473a-4e72-4e23-bc04-25663868a304,2d7d1ce4-f264-4a19-a95c-de5fb313a2b8,5dd2f7da-710d-4945-ac0d-2a76b41bee97,46a26871-132b-4fbf-bb8c-0c43f1226ad9,35b90f23-8b54-40ef-ba56-fefd341a9878,M4-402-F-24,Fazenda Santana ,Sorriso,MT,MACRO IV,REC 402,2024/25,Safra,10/16/2024,2/9/2025,-12.385359,-55.593431,380,Luiz Penna,77EA40,77EA40 E,STINE,Densidade,104,350,77,4,3,4,5,5,5,4,5,,4.38
