uuid,avaliacaoRef,idBaseRef,fazendaRef,dtcResponsavelRef,cod_fazenda,nomeFazenda,cidade_nome,estado_sigla,regiao_macro,regiao_micro,safra,epoca,dataPlantioSoja,dataColheitaSoja,latitude,longitude,altitude,nomeResponsavel,nome,dePara,status_material,tipoTeste,indexTratamento,populacao,gm,notaPhytophthora,inc_notaPhytophthora,class_notaPhytophthora,notaAnomalia,inc_notaAnomalia,class_notaAnomalia,notaOidio,inc_notaOidio,class_notaOidio,notaManchaParda,inc_notaManchaParda,class_notaManchaParda,notaManchaAlvo,inc_notaManchaAlvo,class_notaManchaAlvo,notaManchaOlhoRa,inc_notaManchaOlhoRa,class_notaManchaOlhoRa,notaCercospora,inc_notaCercospora,class_notaCercospora,notaAntracnose,inc_notaAntracnose,class_notaAntracnose,notaDFC,inc_notaDFC,class_notaDFC,notaMedia
00c2de41-db17-4ee3-9a04-15ad76b96d69,3de63b44-3dfb-4fda-8ade-4b7f899e0c2f,9de185c3-10a1-47d7-aa47-4f055e162a4e,d9b6c3c4-70f8-44d5-8824-1029ff5b0c55,fd6a17f2-2d5a-46b9-ad69-4f3d7816b53a,M4-402-H-24,Lajeada ,Campos de Júlio,MT,MACRO IV,REC 402,2024/25,Safra,2024-10-09,2025-02-13,-14.0275,-59.190277,660,Milena Goulart,76KA72,76KA72 CE,DP2,Densidade,103,350,76,0,1,AS,0,1,AS,0,1,AS,0,1,AS,7,0,T,0,1,AS,7,0,T,7,0,T,8,0,T,3.22
014be754-4a65-4011-810f-8895ed9fbd73,41de811b-21b4-46d6-8fd4-91e714d2ad39,29359c95-136f-408c-b31b-ad722ee67d0d,cd9e910b-c53e-49f3-991a-2ab0c0f82e74,428c574c-4a2b-4fc0-ab2d-c5177c7db637,M4-402-D-24,Fazenda Flora,Sorriso,MT,MACRO IV,REC 402,2024/25,Safra,2024-10-23,2025-02-20,-12.5611,-55.4622,412,Lara Martins,84KA92,84KA92 CE,DP2,Densidade,308,350,84,0,1,AS,0,1,AS,0,1,AS,0,1,AS,7,0,T,0,1,AS,7,0,T,7,0,T,7,0,T,3.11
015c9dd0-9370-487d-98d1-e97ff36f1372,9ddd8e48-4bd3-4fa9-a5fd-95a25431258a,e9964c4d-fd30-462d-88d7-70b9f43c0463,4db9f327-5421-4971-84bb-8ce6ed788db4,cea7f5ab-9542-41b4-a62e-fe6496faace9,M4-402-A-24,Fazenda Aquidauana,Campo Novo do Parecis,MT,MACRO IV,REC 402,2024/25,Safra,2024-10-15,2025-02-16,-14.163552,-58.053603,437,Josélia Portilho,79KA72,79KA72 CE,STINE,Densidade,106,300,79,0,1,AS,0,1,AS,0,1,AS,9,0,R,9,0,R,0,1,AS,0,1,AS,0,1,AS,9,0,R,3.0
0186790f-8e08-457a-86c4-63063bc1b478,41de811b-21b4-46d6-8fd4-91e714d2ad39,6efd4b85-f8e1-4912-a3d2-d14d06695f70,cd9e910b-c53e-49f3-991a-2ab0c0f82e74,428c574c-4a2b-4fc0-ab2d-c5177c7db637,M4-402-D-24,Fazenda Flora,Sorriso,MT,MACRO IV,REC 402,2024/25,Safra,2024-10-23,2025-02-20,-12.5611,-55.4622,412,Lara Martins,79KA72,79KA72 CE,STINE,Densidade,206,300,79,0,1,AS,0,1,AS,0,1,AS,0,1,AS,8,0,T,0,1,AS,8,0,T,8,0,T,8,0,T,3.56
020e1264-69f8-4c52-871d-a57790e1261c,3de63b44-3dfb-4fda-8ade-4b7f899e0c2f,126b3b78-6dbb-416c-97e8-86dc09e3f908,d9b6c3c4-70f8-44d5-8824-1029ff5b0c55,fd6a17f2-2d5a-46b9-ad69-4f3d7816b53a,M4-402-H-24,Lajeada ,Campos de Júlio,MT,MACRO IV,REC 402,2024/25,Safra,2024-10-09,2025-02-13,-14.0275,-59.190277,660,Milena Goulart,70KA30,70KA30 CE,STINE,Densidade,201,400,70,0,1,AS,0,1,AS,0,1,AS,0,1,AS,7,0,T,0,1,AS,7,0,T,7,0,T,7,0,T,3.11
022dda2c-aed7-4e2f-946a-382f3fdfdd0a,7d2d7557-72c9-4b2b-948f-46e08e09519e,cfead289-725f-4508-82d5-fc76ce72c74d,46a26871-132b-4fbf-bb8c-0c43f1226ad9,35b90f23-8b54-40ef-ba56-fefd341a9878,M4-402-F-24,Fazenda Santana ,Sorriso,MT,MACRO IV,REC 402,2024/25,Safra,2024-10-16,2025-02-09,-12.385359,-55.593431,380,Luiz Penna,80KA72,80KA72 CE,STINE,Densidade,207,250,80,9,0,R,9,0,R,9,0,R,9,0,R,8,0,T,9,0,R,9,0,R,8,0,T,8,0,T,8.67
02867eab-3eba-4678-a0a6-516946ba3bef,60ced40a-8e30-4c09-b9d6-138805b0fff6,d661bb6d-8271-4b4e-9352-324400bbe833,9e09bbd0-f32d-45e9-b38a-8f5f8b90283f,df4e05ad-5053-463d-a3c3-463d00849eb9,M3-304-A-24,AgroROSSO 1,São Miguel do Passa Quatro,GO,MACRO III,REC 304,2024/25,Safra,2024-11-08,2025-03-06,-16.836499,-48.446628,1010,Rafael Ribeiro,77EA40,77EA40 E,STINE,Densidade,304,250,77,0,1,AS,0,1,AS,0,1,AS,0,1,AS,7,0,T,0,1,AS,7,0,T,0,1,AS,0,1,AS,1.56
02a5da20-c697-4e5a-80fe-652d4b0f0be8,60ced40a-8e30-4c09-b9d6-138805b0fff6,dc28f16e-8fb5-4aee-8b67-97478d57c78c,9e09bbd0-f32d-45e9-b38a-8f5f8b90283f,df4e05ad-5053-463d-a3c3-463d00849eb9,M3-304-A-24,AgroROSSO 1,São Miguel do Passa Quatro,GO,MACRO III,REC 304,2024/25,Safra,2024-11-08,2025-03-06,-16.836499,-48.446628,1010,Rafael Ribeiro,84KA92,84KA92 CE,DP2,Densidade,308,350,84,0,1,AS,0,1,AS,0,1,AS,0,1,AS,5,1,MT,0,1,AS,5,1,MT,0,1,AS,0,1,AS,1.11
02cc646f-17f5-4bdb-8951-b02ea7ef7747,41de811b-21b4-46d6-8fd4-91e714d2ad39,f81bb84c-df6e-4545-a695-b10b80361b55,cd9e910b-c53e-49f3-991a-2ab0c0f82e74,428c574c-4a2b-4fc0-ab2d-c5177c7db637,M4-402-D-24,Fazenda Flora,Sorriso,MT,MACRO IV,REC 402,2024/25,Safra,2024-10-23,2025-02-20,-12.5611,-55.4622,412,Lara Martins,78KA42,78KA42 CE,STINE,Densidade,105,300,78,0,1,AS,0,1,AS,0,1,AS,0,1,AS,8,0,T,0,1,AS,9,0,R,8,0,T,8,0,T,3.67
02fa5751-7c44-49f3-94ab-9d9fdfa1255c,8e74f891-7046-4e24-8529-3119bdbdd3ef,04a17db6-2d40-45a4-ab77-e0f863de773a,9ac6429e-ec51-4764-a767-7c89528ba0d6,586073f9-041b-4931-9e42-b44975c8b383,M4-401-F-24,Ponte de Pedra,Itiquira,MT,MACRO IV,REC 401,2024/25,Safra,2024-10-28,2025-02-25,-17.1054,-54.7112,485,Tamila Ribeiro,79KA72,79KA72 CE,STINE,Densidade,206,300,79,0,1,AS,0,1,AS,0,1,AS,0,1,AS,8,0,T,0,1,AS,0,1,AS,8,0,T,8,0,T,2.67
