uuid,avaliacaoRef,idBaseRef,fazendaRef,dtcResponsavelRef,cod_fazenda,nomeFazenda,cidade_nome,estado_sigla,regiao_macro,regiao_micro,safra,epoca,dataPlantioSoja,dataColheitaSoja,latitude,longitude,altitude,nomeResponsavel,nome,dePara,status_material,tipoTeste,indexTratamento,populacao,gm,dataInicioFloracao,dataFimFloracao,corFlor,corFlorNome,corFlorGrupo,habitoCrescimento,habitoCrescimentoNome,habitoCrescimentoGrupo
002c7dc1-b347-4fd4-94d8-7a93ddb1845c,e6322fd5-1418-4cd0-a532-722e5212f2f1,47f49143-8f9c-469a-87d3-0a0aca9cd580,193ce1de-1af9-4d38-a44c-0f1a8970adcb,967f1c7d-13a5-48fb-ae7a-6871212afdb0,M5-501-C-24,Fazenda Porteira,Brejinho de Nazaré,TO,MACRO V,REC 501,2024/25,Safra,2024-11-13,2025-03-12,-10.92696,-48.62429,260,Pedro Lucas Ramos,84KA92,84KA92 CE,DP2,Densidade,308,200,84,2024-12-19,,B,Branca,Branca,I,Indeterminado,Indeterminado
00939689-9452-4491-97d2-b37148bbc6c1,8bf8add5-ca8f-40e0-81a1-06fed535b31d,71a84875-f066-4d28-8fcd-dbd472ab861a,46a26871-132b-4fbf-bb8c-0c43f1226ad9,35b90f23-8b54-40ef-ba56-fefd341a9878,M4-402-F-24,Fazenda Santana ,Sorriso,MT,MACRO IV,REC 402,2024/25,Safra,2024-10-16,2025-02-09,-12.385359,-55.593431,380,Luiz Penna,70KA30,70KA30 CE,STINE,Densidade,301,350,70,2024-11-15,2024-12-14,B,Branca,Branca,I,Indeterminado,Indeterminado
00b38ce6-4634-4b19-8bc6-40ca1e3505dc,e6322fd5-1418-4cd0-a532-722e5212f2f1,a0334612-aa25-4563-b520-de8386ada001,193ce1de-1af9-4d38-a44c-0f1a8970adcb,967f1c7d-13a5-48fb-ae7a-6871212afdb0,M5-501-C-24,Fazenda Porteira,Brejinho de Nazaré,TO,MACRO V,REC 501,2024/25,Safra,2024-11-13,2025-03-12,-10.92696,-48.62429,260,Pedro Lucas Ramos,80KA72,80KA72 CE,STINE,Densidade,107,350,80,2024-12-14,,R,Roxa,Roxa,I,Indeterminado,Indeterminado
00bae807-0484-4691-b76e-9fad8ec4e81c,92bd823f-3276-4507-bb78-2ed4f083b78c,7fae1cd7-ae5f-46a0-a7f9-94df108c1dea,cd9e910b-c53e-49f3-991a-2ab0c0f82e74,428c574c-4a2b-4fc0-ab2d-c5177c7db637,M4-402-D-24,Fazenda Flora,Sorriso,MT,MACRO IV,REC 402,2024/25,Safra,2024-10-23,2025-02-20,-12.5611,-55.4622,412,Lara Martins,70KA30,70KA30 CE,STINE,Densidade,101,400,70,2024-11-18,2024-12-26,B,Branca,Branca,I,Indeterminado,Indeterminado
01396e97-9aad-4a30-8722-f6d63adb4a1f,92bd823f-3276-4507-bb78-2ed4f083b78c,fd225d01-7d32-48d2-b1da-4b4160b802e9,cd9e910b-c53e-49f3-991a-2ab0c0f82e74,428c574c-4a2b-4fc0-ab2d-c5177c7db637,M4-402-D-24,Fazenda Flora,Sorriso,MT,MACRO IV,REC 402,2024/25,Safra,2024-10-23,2025-02-20,-12.5611,-55.4622,412,Lara Martins,79KA72,79KA72 CE,STINE,Densidade,306,250,79,2024-11-23,2024-12-28,R,Roxa,Roxa,I,Indeterminado,Indeterminado
014c9994-c8f8-4a85-b5b2-9eb13be6243e,8bf8add5-ca8f-40e0-81a1-06fed535b31d,37edc6b1-8f35-4969-97a4-e0bbb4f3017e,46a26871-132b-4fbf-bb8c-0c43f1226ad9,35b90f23-8b54-40ef-ba56-fefd341a9878,M4-402-F-24,Fazenda Santana ,Sorriso,MT,MACRO IV,REC 402,2024/25,Safra,2024-10-16,2025-02-09,-12.385359,-55.593431,380,Luiz Penna,76EA72,76EA72 E,STINE,Densidade,202,400,76,2024-11-18,2024-12-19,B,Branca,Branca,I,Indeterminado,Indeterminado
021d19f7-c5a6-48cc-9598-f7afd1502937,3d966e8e-91e1-469a-aed7-999fa6f1171b,72d8dda6-a602-4bf8-b0e2-fb93a82af006,9e09bbd0-f32d-45e9-b38a-8f5f8b90283f,df4e05ad-5053-463d-a3c3-463d00849eb9,M3-304-A-24,AgroROSSO 1,São Miguel do Passa Quatro,GO,MACRO III,REC 304,2024/25,Safra,2024-11-08,2025-03-06,-16.836499,-48.446628,1010,Rafael Ribeiro,79KA72,79KA72 CE,STINE,Densidade,306,200,79,2024-12-18,,R,Roxa,Roxa,I,Indeterminado,Indeterminado
02451848-b3d6-488c-be1f-3dc12649c3d5,e8492fdd-06e7-4a81-9426-fafd59907dca,1c30af87-871c-46f8-bf3b-409160133f3e,4db9f327-5421-4971-84bb-8ce6ed788db4,cea7f5ab-9542-41b4-a62e-fe6496faace9,M4-402-A-24,Fazenda Aquidauana,Campo Novo do Parecis,MT,MACRO IV,REC 402,2024/25,Safra,2024-10-15,2025-02-16,-14.163552,-58.053603,437,Josélia Portilho,80KA72,80KA72 CE,STINE,Densidade,307,400,80,,,R,Roxa,Roxa,I,Indeterminado,Indeterminado
0248cd35-d6db-4fdd-96b9-4df65c9192af,e6322fd5-1418-4cd0-a532-722e5212f2f1,7d6361da-90dd-45c0-8c4f-3cf7dec44e4a,193ce1de-1af9-4d38-a44c-0f1a8970adcb,967f1c7d-13a5-48fb-ae7a-6871212afdb0,M5-501-C-24,Fazenda Porteira,Brejinho de Nazaré,TO,MACRO V,REC 501,2024/25,Safra,2024-11-13,2025-03-12,-10.92696,-48.62429,260,Pedro Lucas Ramos,80KA72,80KA72 CE,STINE,Densidade,307,300,80,2024-12-14,,R,Roxa,Roxa,I,Indeterminado,Indeterminado
026a6769-cf41-4d19-9a63-2dc7e50056e1,92bd823f-3276-4507-bb78-2ed4f083b78c,29359c95-136f-408c-b31b-ad722ee67d0d,cd9e910b-c53e-49f3-991a-2ab0c0f82e74,428c574c-4a2b-4fc0-ab2d-c5177c7db637,M4-402-D-24,Fazenda Flora,Sorriso,MT,MACRO IV,REC 402,2024/25,Safra,2024-10-23,2025-02-20,-12.5611,-55.4622,412,Lara Martins,84KA92,84KA92 CE,DP2,Densidade,308,350,84,2024-11-25,2024-12-30,B,Branca,Branca,I,Indeterminado,Indeterminado
