uuid,avaliacaoRef,idBaseRef,fazendaRef,dtcResponsavelRef,cod_fazenda,nomeFazenda,cidade_nome,estado_sigla,regiao_macro,regiao_micro,safra,epoca,dataPlantioSoja,dataColheitaSoja,latitude,longitude,altitude,nomeResponsavel,nome,dePara,status_material,tipoTeste,indexTratamento,populacao,gm,notaUniformidade,notaDensidade,notaVigor,notaDaninhas,notaPragas,notaDoencas,notaHomogenidade,notaSolo,notaQualidadeInicial,notaMedia
000b0272-9bd5-4f64-9790-7c240af49f9f,c0f3fda9-7635-471a-818c-dda1bcb97b00,aee340b7-1f6c-4aec-8b62-878a795732cb,06808f13-42e9-45c2-9488-6e1b773718a6,2fef9e92-3c2b-45a5-8f3f-2eb28550da94,M1-102-E-24,FAZENDA 3 GERAÇÕES,Dois Vizinhos,PR,MACRO I,REC 102,2024/25,Safra,2024-10-16,2025-02-24,-25.74063,-53.130417,645,RAQUEL BARTOLOMEU,SC25-4681-7,SC25-4681-7,LINHAGEM,Faixa,28,250,62,3,3,3,5,5,5,4,5,,4.12
000b9590-1675-4ceb-907d-0a194afb0b7d,f6e3a82c-1a36-4579-b3df-91f957181f6c,8819af4b-93a5-4c7e-9c02-39f6012f1199,5a9cc3ee-09d0-43f0-9aee-d79dba23f0a6,2fef9e92-3c2b-45a5-8f3f-2eb28550da94,M2-201-B-24,FAZENDA J&J,Mamborê,PR,MACRO II,REC 201,2024/25,Safra,2024-10-14,2025-02-17,-24.337283,-52.697725,665,RAQUEL BARTOLOMEU,SC24-210173-05,SC24-210173-05,LINHAGEM,Faixa,19,250,59,5,5,5,5,5,5,5,5,,5.0
002c8423-a997-493e-8186-bc912306a769,debd1c1f-3690-4cef-952a-74b1179d2219,9794c764-5e29-42b5-bf15-f65e827d231f,73aa5e8b-f1a4-4489-a5d6-aa53c6b2a9a7,dc5ab980-65ce-4491-9a4b-341e27c4bec3,M4-403-A-24,Córrego Fundo,Água Boa,MT,MACRO IV,REC 403,2024/25,Safra,2024-11-03,2025-03-07,-13.6462318,-52.6649138,450,Maklane Duarte,NEO 820IPRO,NEO 820 IPRO,CHECK,Faixa,40,300,82,5,4,5,4,5,4,4,5,,4.5
0045715d-bc6a-4e45-8f26-38ed1b9b0e44,f6e3a82c-1a36-4579-b3df-91f957181f6c,d1b0eba7-5ab7-444c-9fb8-b6e182802dc2,5a9cc3ee-09d0-43f0-9aee-d79dba23f0a6,2fef9e92-3c2b-45a5-8f3f-2eb28550da94,M2-201-B-24,FAZENDA J&J,Mamborê,PR,MACRO II,REC 201,2024/25,Safra,2024-10-14,2025-02-17,-24.337283,-52.697725,665,RAQUEL BARTOLOMEU,SC25-4681-7,SC25-4681-7,LINHAGEM,Faixa,28,250,62,4,4,4,5,5,5,4,5,,4.5
0076bfed-8817-4df6-97b7-26fae4c54930,b0ecc367-960b-4538-860a-6fcc994d0370,b1ffd7c6-5339-4aab-bfaf-8028537ec05f,0c9beb65-80fe-48f0-be6a-b02d24e91ed7,967f1c7d-13a5-48fb-ae7a-6871212afdb0,M5-501-D-24,Fazenda Veneza II,Caseara,TO,MACRO V,REC 501,2024/25,Safra,2024-11-12,2025-03-11,-93.16135,-49.9151,200,Pedro Lucas Ramos,NC25-41248-8,NC25-41248-8,LINHAGEM,Faixa,15,300,80,3,4,3,4,5,5,2,3,,3.62
0093405a-14f9-4566-96d3-34f55a924cee,a1ab6b9d-6d99-4074-96ac-1b4a9141f022,e60c48a1-73b5-4d64-b5a8-f8a7d1170529,5018d515-ea55-42d5-afb6-f1a9879fb3ce,cea7f5ab-9542-41b4-a62e-fe6496faace9,M4-402-B-24,Fazenda Bananal,Diamantino,MT,MACRO IV,REC 402,2024/25,Safra,2024-10-11,2025-02-08,-14.6071,-56.37197,269,Josélia Portilho,NC25-61547-2,NC25-61547-2,LINHAGEM,Faixa,39,300,82,3,3,2,4,4,5,3,5,,3.62
00a22ac8-2d3e-4483-a6ea-55a1bfc4c38e,b501bce8-9c22-4b2e-89b5-ca123e07482c,665d1dd2-426e-4aa5-88b7-dce96ef8780e,9e09bbd0-f32d-45e9-b38a-8f5f8b90283f,df4e05ad-5053-463d-a3c3-463d00849eb9,M3-304-A-24,AgroROSSO 1,São Miguel do Passa Quatro,GO,MACRO III,REC 304,2024/25,Safra,2024-11-08,2025-03-06,-16.836499,-48.446628,1010,Rafael Ribeiro,NC25-60031-5,NC25-60031-5,LINHAGEM,Faixa,37,300,81,5,5,5,2,5,5,5,5,,4.62
01099109-f9af-47b9-86d8-7fb805d4d5bd,70ea278a-a5bd-4728-b221-3f40925a5246,e0974140-606f-43f4-ba06-f5d84d93dccf,4a4a041e-d1c6-4a70-864a-1479e45e400c,dc5ab980-65ce-4491-9a4b-341e27c4bec3,M4-403-C-24,Rancho 60,Querência,MT,MACRO IV,REC 403,2024/25,Safra,2024-11-05,2025-03-04,-12.26784,-51.70005,364,Maklane Duarte,NC25-51441-3,68KA49 CE,DP2,Faixa,3,300,69,4,4,5,5,4,5,4,4,,4.38
010a8917-0822-4e08-a340-8781df978ffc,b21bec8b-2018-4070-99e8-753450f1987f,c0feb3a1-1a76-4df3-8bfb-39ad454c4e6d,193ce1de-1af9-4d38-a44c-0f1a8970adcb,967f1c7d-13a5-48fb-ae7a-6871212afdb0,M5-501-C-24,Fazenda Porteira,Brejinho de Nazaré,TO,MACRO V,REC 501,2024/25,Safra,2024-11-13,2025-03-12,-10.92696,-48.62429,260,Pedro Lucas Ramos,NC25-67354-3,NC25-67354-3,LINHAGEM,Faixa,21,300,82,2,4,3,5,5,5,3,5,,4.0
0127cf36-b377-45f7-8d07-c4a2b7f0a613,4c5ef501-99ed-47f3-9486-7aa8065fa782,51f525a3-1394-45bc-baad-b1e213955912,cd9e910b-c53e-49f3-991a-2ab0c0f82e74,428c574c-4a2b-4fc0-ab2d-c5177c7db637,M4-402-D-24,Fazenda Flora,Sorriso,MT,MACRO IV,REC 402,2024/25,Safra,2024-10-23,2025-02-20,-12.5611,-55.4622,412,Lara Martins,OLIMPO IPRO,BMX OLIMPO IPRO,CHECK,Faixa,26,300,79,4,5,4,5,4,4,4,3,,4.12
