uuid,avaliacaoRef,idBaseRef,fazendaRef,dtcResponsavelRef,cod_fazenda,nomeFazenda,cidade_nome,estado_sigla,regiao_macro,regiao_micro,safra,epoca,dataPlantioSoja,dataColheitaSoja,latitude,longitude,altitude,nomeResponsavel,nome,dePara,status_material,tipoTeste,indexTratamento,populacao,gm,dataInicioFloracao,dataFimFloracao,corFlor,corFlorNome,corFlorGrupo,habitoCrescimento,habitoCrescimentoNome,habitoCrescimentoGrupo
005ad4fc-081a-4900-882a-56b1ea82b0ac,6e78fe39-8f5c-42cb-adb1-e5fd792ead38,9794c764-5e29-42b5-bf15-f65e827d231f,ee617d06-0bb2-49b0-aa19-5c14e615cc77,dc5ab980-65ce-4491-9a4b-341e27c4bec3,M4-403-B-24,Panamby,Querência,MT,MACRO IV,REC 403,2024/25,Safra,2024-11-08,,0.0,0.0,0,Maklane Duarte,NEO 820IPRO,NEO 820 IPRO,CHECK,Faixa,40,300,82,2024-12-14,,B,Branca,Branca,I,Indeterminado,Indeterminado
00762e81-8620-4931-ab0e-fe95a5301550,df61a477-c7b1-4a24-b859-52331b87baa1,94b9fd9e-a233-4548-a8f1-3d0ef67a73c1,394c0133-b356-40a0-9ce8-8fe7412fb244,589904d8-eb5c-48cc-a8e0-ad3398f7f373,M2-204-A-24,Flor do Cerrado ,Rio Brilhante,MS,MACRO II,REC 204,2024/25,Safra,2024-10-21,2025-02-27,0.0,0.0,0,Luis Tosin ,NC25-57837-7,NC25-57837-7,LINHAGEM,Faixa,36,260,74,2024-11-28,2024-12-24,B,Branca,Branca,I,Indeterminado,Indeterminado
00b95cf3-eaa7-4fd6-bbbf-a50ad84c71a4,92bd823f-3276-4507-bb78-2ed4f083b78c,f57dcc04-4ec3-4f02-a491-aa848bc1cb1d,cd9e910b-c53e-49f3-991a-2ab0c0f82e74,428c574c-4a2b-4fc0-ab2d-c5177c7db637,M4-402-D-24,Fazenda Flora,Sorriso,MT,MACRO IV,REC 402,2024/25,Safra,2024-10-23,2025-02-20,-12.5611,-55.4622,412,Lara Martins,NC25-62377-7,NC25-62377-7,LINHAGEM,Faixa,33,300,80,2024-11-23,2024-12-26,R,Roxa,Roxa,I,Indeterminado,Indeterminado
00c35016-0f4e-40ad-93ce-5469ed9843c6,198d7a41-eb3b-40f6-abfd-afdc94557aa8,74cce0af-bf9a-4ea0-a5f5-696b09b9471c,1855d4a7-024c-42c0-b0fa-f0a70ced866f,b3c863ab-5a70-433e-8f85-d3b2b695e14b,M3-301-E-24,Três Pinheiros,São Gabriel do Oeste,MS,MACRO III,REC 301,2024/25,Safra,2024-10-30,2025-03-12,-19.3191,-54.64512,660,Luiz Neves,NC25-51441-3,68KA49 CE,DP2,Faixa,8,300,69,2024-12-06,,R,Roxa,Roxa,I,Indeterminado,Indeterminado
00c3f7ab-cb86-4e2f-935b-08132c918399,df61a477-c7b1-4a24-b859-52331b87baa1,f6f9ce8e-010d-4172-bacd-cea823cc5ac3,394c0133-b356-40a0-9ce8-8fe7412fb244,589904d8-eb5c-48cc-a8e0-ad3398f7f373,M2-204-A-24,Flor do Cerrado ,Rio Brilhante,MS,MACRO II,REC 204,2024/25,Safra,2024-10-21,2025-02-27,0.0,0.0,0,Luis Tosin ,NC25-96785-1,71KA72 CE,DP2,Faixa,31,260,70,2024-11-22,2024-12-16,B,Branca,Branca,I,Indeterminado,Indeterminado
00ccd4ca-c628-4c03-bd45-eb47c4609010,838747fe-6359-4f6f-af42-9f94caa5eda6,bdb01235-df7b-4a90-ae3b-f3ae6c7dd0f9,4a4a041e-d1c6-4a70-864a-1479e45e400c,dc5ab980-65ce-4491-9a4b-341e27c4bec3,M4-403-C-24,Rancho 60,Querência,MT,MACRO IV,REC 403,2024/25,Safra,2024-11-05,2025-03-04,-12.26784,-51.70005,364,Maklane Duarte,NC25-62377-7,NC25-62377-7,LINHAGEM,Faixa,33,300,80,2024-12-06,,R,Roxa,Roxa,I,Indeterminado,Indeterminado
00dffecf-82ad-4b66-9b41-c619010a5787,8bf8add5-ca8f-40e0-81a1-06fed535b31d,8fa3c28f-64ef-4851-85ea-4cd46e78c9c9,46a26871-132b-4fbf-bb8c-0c43f1226ad9,35b90f23-8b54-40ef-ba56-fefd341a9878,M4-402-F-24,Fazenda Santana ,Sorriso,MT,MACRO IV,REC 402,2024/25,Safra,2024-10-16,2025-02-09,-12.385359,-55.593431,380,Luiz Penna,NC25-51243-2,NC25-51243-2,LINHAGEM,Faixa,24,300,79,2024-11-16,2024-12-18,R,Roxa,Roxa,I,Indeterminado,Indeterminado
00e09d79-16c9-4c60-b997-4763f8330a58,7abdc444-e561-481d-9889-ecfa34c8a142,e54ba4b1-e788-4388-8759-8ceb60df0341,d1989909-ceae-43f1-a8f5-bbd408ab2e20,d33a313f-61f2-4e0b-b04c-ad12b9ec7534,M5-501-A-24,Fazenda Cajueiro,Balsas,MA,MACRO V,REC 501,2024/25,Safra,2024-11-15,2025-03-14,-7.221256,-45.968977,350,Guilherme Leal,NC25-61547-2,NC25-61547-2,LINHAGEM,Faixa,23,300,82,,2024-12-27,B,Branca,Branca,I,Indeterminado,Indeterminado
00e795f3-b94c-4e93-9f20-84d2ea40e606,2f5f5b90-031f-4d3b-a81e-8949b5f5cf7b,45bfd6ae-2692-446d-bbe1-255c0e0e19e3,273ef1df-bacf-47a2-8337-6c7795a89bec,12351e76-eed4-41fb-bf16-99fb41d513a8,M3-301-D-24,São Tomaz Douradinho_RV,Rio Verde,GO,MACRO III,REC 301,2024/25,Safra,2024-10-31,2025-02-21,-17.926627,-50.420948,600,Lucas Pereira,NC25-41893-3,NC25-41893-3,LINHAGEM,Faixa,13,300,73,2024-12-02,2024-12-06,R,Roxa,Roxa,I,Indeterminado,Indeterminado
00f5c1bb-26cc-46cb-a95f-128344f2b21e,bcda0b15-2680-403f-b4d7-9742c9658526,6a4a6b9d-2ec1-475f-bc68-ccec77d6631b,e339a07a-37bb-4e51-bd5d-dece7d94a8e6,df4e05ad-5053-463d-a3c3-463d00849eb9,M4-405-B-24,Marina,Correntina,BA,MACRO IV,REC 405,2024/25,Safra,2024-11-12,2025-03-11,0.0,0.0,0,Rafael Ribeiro,FORTALEZA IPRO,BMX FORTALEZA IPRO,CHECK,Faixa,28,300,83,2024-12-19,,R,Roxa,Roxa,I,Indeterminado,Indeterminado
