uuid,avaliacaoRef,idBaseRef,fazendaRef,dtcResponsavelRef,cod_fazenda,nomeFazenda,cidade_nome,estado_sigla,regiao_macro,regiao_micro,safra,epoca,dataPlantioSoja,dataColheitaSoja,latitude,longitude,altitude,nomeResponsavel,nome,dePara,status_material,tipoTeste,indexTratamento,populacao,gm,n_RV,media_RV,std_RV,n_RR,media_RR,std_RR,n_VTS,media_VTS,std_VTS,n_VTM,media_VTM,std_VTM,n_VTI,media_VTI,std_VTI,media_totalVagens
0039db47-6f20-4702-b6b3-cd89fae18627,0a22f251-35f7-4ca4-bb1e-eb6d000d3240,fe0cf3d9-7e60-4f37-9e5e-0c8b4f336d13,9e09bbd0-f32d-45e9-b38a-8f5f8b90283f,df4e05ad-5053-463d-a3c3-463d00849eb9,M3-304-A-24,AgroROSSO 1,São Miguel do Passa Quatro,GO,MACRO III,REC 304,2024/25,Safra,2024-11-08,2025-03-06,-16.836499,-48.446628,1010,Rafael Ribeiro,NC25-46045-2,NC25-46045-2,LINHAGEM,Faixa,9,300,72,3,0.0,0.0,3,5.7,0.6,3,24.3,1.2,3,26.7,2.1,3,10.3,0.6,61.3
004b9748-8761-485e-a4e4-f27675c8a41d,eb8be9de-0699-4709-ab44-d9cb6f7a1d6e,058ba469-f883-4b46-9efa-f9e6ae7c2eb5,46a26871-132b-4fbf-bb8c-0c43f1226ad9,35b90f23-8b54-40ef-ba56-fefd341a9878,M4-402-F-24,Fazenda Santana ,Sorriso,MT,MACRO IV,REC 402,2024/25,Safra,2024-10-16,2025-02-09,-12.385359,-55.593431,380,Luiz Penna,80KA72,80KA72 CE,STINE,Faixa,35,300,80,5,0.0,0.0,5,2.8,0.4,5,23.4,1.3,5,22.0,1.6,5,19.6,1.1,65.0
01a842ce-9959-4c4a-b6e6-85f6b0e56381,80298e7f-74d1-4b8c-9aa3-359a44940775,240fdbba-e08f-439c-bbc9-e0a976c6d091,73aa5e8b-f1a4-4489-a5d6-aa53c6b2a9a7,dc5ab980-65ce-4491-9a4b-341e27c4bec3,M4-403-A-24,Córrego Fundo,Água Boa,MT,MACRO IV,REC 403,2024/25,Safra,2024-11-03,2025-03-07,-13.6462318,-52.6649138,450,Maklane Duarte,TORMENTA CE,BMX TORMENTA CE,CHECK,Faixa,17,300,76,5,0.6,0.9,5,2.0,0.0,5,16.4,3.4,5,18.2,1.5,5,16.6,3.4,51.199999999999996
0244df10-3e4a-4a35-9a3a-89fa92a4f664,8b6f2eaf-2e9b-41d7-bca0-ead6296dcca0,1458c3e4-9991-454f-b14d-8581f2f781c7,5018d515-ea55-42d5-afb6-f1a9879fb3ce,cea7f5ab-9542-41b4-a62e-fe6496faace9,M4-402-B-24,Fazenda Bananal,Diamantino,MT,MACRO IV,REC 402,2024/25,Safra,2024-10-11,2025-02-08,-14.6071,-56.37197,269,Josélia Portilho,NC25-41248-8,NC25-41248-8,LINHAGEM,Faixa,31,300,80,4,0.0,0.0,4,3.5,0.6,5,18.6,5.2,5,19.8,2.6,5,12.2,3.7,50.60000000000001
02c2666e-b067-404d-8d8e-b4fa29a17947,52a28c43-7459-4196-bd81-deeb00d3b60c,ad9a2bd9-354c-478a-a152-bd2ecce9c7c4,d9b6c3c4-70f8-44d5-8824-1029ff5b0c55,fd6a17f2-2d5a-46b9-ad69-4f3d7816b53a,M4-402-H-24,Lajeada ,Campos de Júlio,MT,MACRO IV,REC 402,2024/25,Safra,2024-10-09,2025-02-13,-14.0275,-59.190277,660,Milena Goulart,DM 73I75 IPRO,DM 73I75 RSF IPRO,CHECK,Faixa,10,300,73,5,0.0,0.0,5,2.6,0.5,5,12.2,4.1,5,20.6,4.0,5,6.6,3.2,39.4
02ede284-11b6-449e-b802-cbd48be4b5cd,30d452e5-2e54-48a9-994c-c53d27032abd,3833800d-65f1-4fba-af60-b784702c638b,193ce1de-1af9-4d38-a44c-0f1a8970adcb,967f1c7d-13a5-48fb-ae7a-6871212afdb0,M5-501-C-24,Fazenda Porteira,Brejinho de Nazaré,TO,MACRO V,REC 501,2024/25,Safra,2024-11-13,2025-03-12,-10.92696,-48.62429,260,Pedro Lucas Ramos,NC25-2384-7,NC25-2384-7,LINHAGEM,Faixa,5,300,77,3,0.0,0.0,3,1.7,0.6,3,13.7,2.1,3,21.7,6.5,3,13.7,3.5,49.099999999999994
0365c7fa-b436-490c-872d-937c672f0cad,c524bc4f-3a50-45bb-b855-8005ff365b79,058ba469-f883-4b46-9efa-f9e6ae7c2eb5,7dd6d2d7-f83f-47be-9967-26fb952c9d5a,428c574c-4a2b-4fc0-ab2d-c5177c7db637,M4-402-J-24,Sitio Cebola,Ipiranga do Norte,MT,MACRO IV,REC 402,2024/25,Safra,2024-10-16,2025-02-09,-12.2005,-56.1044,385,Lara Martins,80KA72,80KA72 CE,STINE,Faixa,35,300,80,5,0.0,0.0,5,1.6,0.5,5,19.4,7.2,5,20.0,4.2,5,16.6,3.6,56.0
03896a64-3057-4aee-a62d-f3b2a8ac1d78,30d452e5-2e54-48a9-994c-c53d27032abd,81d0213b-351b-496d-ba06-8ad9a9166d22,193ce1de-1af9-4d38-a44c-0f1a8970adcb,967f1c7d-13a5-48fb-ae7a-6871212afdb0,M5-501-C-24,Fazenda Porteira,Brejinho de Nazaré,TO,MACRO V,REC 501,2024/25,Safra,2024-11-13,2025-03-12,-10.92696,-48.62429,260,Pedro Lucas Ramos,80KA72,80KA72 CE,STINE,Faixa,19,300,80,3,0.0,0.0,3,2.7,0.6,3,15.3,1.5,3,22.3,7.1,3,12.3,1.5,49.900000000000006
03aed0c7-829b-4452-a0b7-2a6ab637b57f,e9e3aada-b04b-472e-ae80-f78e74e7f002,6fd236cd-4232-455b-8056-3efe0aa158e0,7ad26bed-aa41-4b96-82c9-98dd5df4d60d,b3c863ab-5a70-433e-8f85-d3b2b695e14b,M3-301-B-24,Fortuna,Costa Rica,MS,MACRO III,REC 301,2024/25,Safra,2024-11-02,2025-02-28,-18.4089,-52.9393,860,Luiz Neves,76KA72,76KA72 CE,DP2,Faixa,26,300,76,1,0.0,,1,3.0,,1,19.0,,1,25.0,,1,26.0,,70.0
04570be8-de95-4a11-b559-7b1932e3ae04,83aab77c-b817-404d-b5d9-e6dc8f37e825,3c1d5b44-47c2-4e99-ab21-b5436090bfd5,72f0c8c0-97f7-4dc2-ada1-e4160602a0f7,7e3a92bf-2ddd-4c2a-a9a1-7ee7b42924db,M3-303-B-24,GM SEEDS,Tupaciguara,MG,MACRO III,REC 303,2024/25,Safra,2024-10-30,2025-03-02,-18.53419,-48.73291,889,Fúlvio Gibello,80KA72,80KA72 CE,STINE,Faixa,39,300,80,5,0.0,0.0,5,3.0,0.7,5,18.0,5.1,5,29.6,3.6,5,16.8,2.2,64.4
